idx,pair,side,entry_time,exit_time,entry,exit_price,initial_sl,initial_tp,lot,pnl,pnl_pct,confidence,signal_reason,regime,session,exit_reason,duration_bars,mfe,mae,balance_after
23,XAUUSD,sell,2025-03-06T23:45:00+00:00,2025-03-07T00:00:00+00:00,2910.058,2901.81388,2915.00447,2901.81388,0.18,148.39,1.618,0.68,EMA(21)↓55 cross · RSI 44.3 · regime ranging,ranging,london,tp_hit,1,258.48,0.0,9319.08
24,XAUUSD,sell,2025-03-07T00:15:00+00:00,2025-03-07T01:30:00+00:00,2902.255,2908.72767,2908.72767,2891.46721,0.14,-90.62,-0.972,0.59,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 35.4",ranging,london,sl_hit,5,13.02,-105.14,9228.46
25,XAUUSD,sell,2025-03-07T01:45:00+00:00,2025-03-07T06:30:00+00:00,2906.565,2913.25178,2913.25178,2895.42036,0.13,-86.93,-0.942,0.62,Pullback to EMA21 in downtrend · RSI 46.3,trending_down,london,sl_hit,19,72.54,-105.56,9141.53
26,XAUUSD,buy,2025-03-07T07:00:00+00:00,2025-03-07T08:45:00+00:00,2913.675,2921.62941,2908.90235,2921.62941,0.19,151.13,1.653,0.74,EMA(21)↑55 cross · RSI 61.8 · regime ranging,ranging,london,tp_hit,7,174.23,-42.56,9292.67
27,XAUUSD,buy,2025-03-07T09:00:00+00:00,2025-03-07T10:15:00+00:00,2922.145,2917.61341,2917.61341,2929.69766,0.2,-90.63,-0.975,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 72.3",trending_up,london,sl_hit,5,13.0,-103.8,9202.04
28,XAUUSD,buy,2025-03-07T10:30:00+00:00,2025-03-07T13:15:00+00:00,2919.595,2915.27951,2915.27951,2926.78748,0.21,-90.63,-0.985,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 61.5",trending_up,london,sl_hit,11,62.37,-202.02,9111.41
29,XAUUSD,buy,2025-03-07T14:45:00+00:00,2025-03-07T15:30:00+00:00,2926.498,2918.01419,2918.01419,2940.63768,0.1,-84.84,-0.931,0.62,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 60.8",trending_up,london,sl_hit,3,36.87,-140.93,9026.57
30,XAUUSD,sell,2025-03-07T17:30:00+00:00,2025-03-09T23:45:00+00:00,2907.285,2916.42255,2916.42255,2892.05575,0.09,-82.24,-0.911,0.75,EMA(21)↓55 cross · RSI 37.4 · regime ranging,ranging,london,sl_hit,25,49.14,-84.54,8944.34
31,XAUUSD,buy,2025-03-10T00:30:00+00:00,2025-03-10T02:00:00+00:00,2914.625,2909.86481,2909.86481,2922.55865,0.18,-85.68,-0.958,0.69,EMA(21)↑55 cross · RSI 57.1 · regime ranging,ranging,london,sl_hit,6,63.0,-88.51,8858.65
32,XAUUSD,sell,2025-03-10T02:30:00+00:00,2025-03-10T08:15:00+00:00,2911.835,2903.27516,2916.9709,2903.27516,0.17,145.52,1.643,0.64,EMA(21)↓55 cross · RSI 47.7 · regime ranging,ranging,london,tp_hit,23,168.74,-58.14,9004.17
33,XAUUSD,sell,2025-03-10T08:30:00+00:00,2025-03-10T09:00:00+00:00,2900.219,2905.67769,2905.67769,2891.12118,0.16,-87.34,-0.97,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 29.0",trending_down,london,sl_hit,2,60.16,-139.62,8916.83
34,XAUUSD,sell,2025-03-10T10:15:00+00:00,2025-03-10T15:00:00+00:00,2902.879,2909.67457,2909.67457,2891.55305,0.13,-88.34,-0.991,0.57,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 40.9",ranging,london,sl_hit,19,96.9,-96.32,8828.49
35,XAUUSD,sell,2025-03-10T15:45:00+00:00,2025-03-10T17:00:00+00:00,2904.295,2891.13546,2912.19072,2891.13546,0.11,144.75,1.64,0.53,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 48.2",ranging,london,tp_hit,5,151.36,-25.41,8973.24
36,XAUUSD,sell,2025-03-10T17:15:00+00:00,2025-03-10T18:00:00+00:00,2894.855,2882.46502,2902.28899,2882.46502,0.12,148.68,1.657,0.63,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 37.3",trending_down,london,tp_hit,3,179.04,-3.72,9121.92
37,XAUUSD,sell,2025-03-10T18:15:00+00:00,2025-03-11T02:00:00+00:00,2883.265,2891.10793,2891.10793,2870.19345,0.11,-86.27,-0.946,0.67,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 27.1",trending_down,london,sl_hit,27,36.6,-116.93,9035.65
38,XAUUSD,buy,2025-03-11T05:00:00+00:00,2025-03-11T05:45:00+00:00,2897.595,2893.26243,2893.26243,2904.81595,0.2,-86.65,-0.959,0.75,EMA(21)↑55 cross · RSI 62.6 · regime ranging,ranging,london,sl_hit,3,26.4,-103.8,8949.0
39,XAUUSD,buy,2025-03-11T06:00:00+00:00,2025-03-11T06:45:00+00:00,2895.065,2902.1765,2890.7981,2902.1765,0.2,142.23,1.589,0.53,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 52.6",ranging,london,tp_hit,3,150.8,-36.4,9091.23
40,XAUUSD,buy,2025-03-11T07:00:00+00:00,2025-03-11T08:30:00+00:00,2899.715,2907.53402,2895.02359,2907.53402,0.19,148.56,1.634,0.57,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 60.9",ranging,london,tp_hit,6,178.79,-44.08,9239.79
41,XAUUSD,buy,2025-03-11T08:45:00+00:00,2025-03-11T13:30:00+00:00,2909.905,2917.87803,2905.12118,2917.87803,0.19,151.49,1.64,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 76.6",trending_up,london,tp_hit,19,204.25,-61.56,9391.28
42,XAUUSD,buy,2025-03-11T13:45:00+00:00,2025-03-12T01:00:00+00:00,2917.405,2911.31615,2911.31615,2927.55308,0.15,-91.33,-0.973,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 62.5",trending_up,london,sl_hit,41,57.6,-102.71,9299.95
43,XAUUSD,buy,2025-03-12T01:15:00+00:00,2025-03-12T06:00:00+00:00,2914.525,2920.95371,2910.66777,2920.95371,0.24,154.29,1.659,0.62,Pullback to EMA21 in uptrend · RSI 47.8,trending_up,london,tp_hit,19,156.24,-63.05,9454.23
44,XAUUSD,buy,2025-03-12T06:15:00+00:00,2025-03-12T06:45:00+00:00,2915.768,2911.65325,2911.65325,2922.62591,0.22,-90.52,-0.958,0.52,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 50.3",ranging,london,sl_hit,2,26.99,-102.59,9363.71
45,XAUUSD,sell,2025-03-12T07:30:00+00:00,2025-03-12T08:15:00+00:00,2912.505,2917.00516,2917.00516,2905.00473,0.2,-90.0,-0.961,0.67,EMA(21)↓55 cross · RSI 44.9 · regime ranging,ranging,london,sl_hit,3,3.8,-121.8,9273.71
46,XAUUSD,buy,2025-03-12T08:30:00+00:00,2025-03-12T09:45:00+00:00,2919.005,2914.47152,2914.47152,2926.5608,0.2,-90.67,-0.978,0.57,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 60.1",ranging,london,sl_hit,5,122.6,-110.0,9183.04
47,XAUUSD,buy,2025-03-12T12:30:00+00:00,2025-03-12T13:15:00+00:00,2918.805,2913.55946,2913.55946,2927.54756,0.17,-89.17,-0.971,0.56,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 58.8",ranging,london,sl_hit,3,8.84,-221.85,9093.86
48,XAUUSD,sell,2025-03-12T13:30:00+00:00,2025-03-12T14:00:00+00:00,2911.855,2917.80843,2917.80843,2901.93262,0.15,-89.3,-0.982,0.69,EMA(21)↓55 cross · RSI 43.3 · regime ranging,ranging,london,sl_hit,2,4.61,-91.35,9004.56
49,XAUUSD,buy,2025-03-12T14:15:00+00:00,2025-03-12T15:00:00+00:00,2916.048,2926.02737,2910.06038,2926.02737,0.15,149.69,1.662,0.53,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 52.2",ranging,london,tp_hit,3,177.41,0.0,9154.25
50,XAUUSD,buy,2025-03-12T15:15:00+00:00,2025-03-12T16:00:00+00:00,2923.748,2934.42076,2917.34434,2934.42076,0.14,149.42,1.632,0.58,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 61.1",ranging,london,tp_hit,3,177.94,-6.3,9303.67
51,XAUUSD,buy,2025-03-12T16:15:00+00:00,2025-03-13T12:00:00+00:00,2937.448,2948.90981,2930.57091,2948.90981,0.13,149.0,1.602,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 74.5",trending_up,london,tp_hit,75,150.89,-88.31,9452.67
52,XAUUSD,buy,2025-03-13T12:30:00+00:00,2025-03-13T12:45:00+00:00,2946.088,2941.00629,2941.00629,2954.55752,0.18,-91.47,-0.968,0.6,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 56.5",trending_up,london,sl_hit,1,24.97,-91.58,9361.2
